candidate_id,condition,ablation,prompt_id,n_idx
C2_full_p09_k3,C2,full,p09,3
C2_full_p09_k1,C2,full,p09,1
C2_full_p09_k2,C2,full,p09,2
C2_full_p09_k6,C2,full,p09,6
C2_full_p09_k7,C2,full,p09,7
C2_full_p09_k5,C2,full,p09,5
C2_full_p10_k0,C2,full,p10,0
C2_full_p10_k4,C2,full,p10,4
C2_full_p10_k2,C2,full,p10,2
C2_full_p10_k3,C2,full,p10,3
C2_full_p10_k1,C2,full,p10,1
C2_full_p10_k5,C2,full,p10,5
C2_full_p10_k6,C2,full,p10,6
C2_full_p10_k7,C2,full,p10,7
C2_full_p11_k1,C2,full,p11,1
C2_full_p11_k4,C2,full,p11,4
C2_full_p11_k0,C2,full,p11,0
C2_full_p11_k3,C2,full,p11,3
C2_full_p11_k2,C2,full,p11,2
C2_full_p11_k5,C2,full,p11,5
C2_full_p11_k6,C2,full,p11,6
C2_full_p11_k7,C2,full,p11,7
C2_full_p12_k3,C2,full,p12,3
C2_full_p12_k1,C2,full,p12,1
C2_full_p12_k2,C2,full,p12,2
C2_full_p12_k0,C2,full,p12,0
C2_full_p12_k4,C2,full,p12,4
C2_full_p12_k5,C2,full,p12,5
C2_full_p12_k6,C2,full,p12,6
C2_full_p12_k7,C2,full,p12,7
C2_full_p13_k2,C2,full,p13,2
C2_full_p13_k0,C2,full,p13,0
C2_full_p13_k1,C2,full,p13,1
C2_full_p13_k3,C2,full,p13,3
C2_full_p13_k4,C2,full,p13,4
C2_full_p13_k5,C2,full,p13,5
C2_full_p13_k6,C2,full,p13,6
C2_full_p13_k7,C2,full,p13,7
C2_full_p14_k1,C2,full,p14,1
C2_full_p14_k0,C2,full,p14,0
C2_full_p14_k3,C2,full,p14,3
C2_full_p14_k2,C2,full,p14,2
C2_full_p14_k4,C2,full,p14,4
C2_full_p14_k5,C2,full,p14,5
C2_full_p14_k7,C2,full,p14,7
C2_full_p14_k6,C2,full,p14,6
C2_full_p15_k0,C2,full,p15,0
C2_full_p15_k2,C2,full,p15,2
C2_full_p15_k1,C2,full,p15,1
C2_full_p15_k3,C2,full,p15,3
C2_full_p15_k4,C2,full,p15,4
C2_full_p15_k5,C2,full,p15,5
C2_full_p15_k7,C2,full,p15,7
C2_full_p15_k6,C2,full,p15,6
C2_none_p00_k1,C2,none,p00,1
C2_none_p00_k0,C2,none,p00,0
C2_none_p00_k3,C2,none,p00,3
C2_none_p00_k2,C2,none,p00,2
C2_none_p00_k4,C2,none,p00,4
C2_none_p00_k5,C2,none,p00,5
C2_none_p00_k6,C2,none,p00,6
C2_none_p00_k7,C2,none,p00,7
C2_none_p01_k1,C2,none,p01,1
C2_none_p01_k2,C2,none,p01,2
C2_none_p01_k4,C2,none,p01,4
C2_none_p01_k3,C2,none,p01,3
C2_none_p01_k0,C2,none,p01,0
C2_none_p01_k5,C2,none,p01,5
C2_none_p01_k6,C2,none,p01,6
C2_none_p01_k7,C2,none,p01,7
C2_none_p02_k0,C2,none,p02,0
C2_none_p02_k1,C2,none,p02,1
C2_none_p02_k2,C2,none,p02,2
C2_none_p02_k3,C2,none,p02,3
C2_none_p02_k4,C2,none,p02,4
C2_none_p02_k5,C2,none,p02,5
C2_none_p02_k6,C2,none,p02,6
C2_none_p02_k7,C2,none,p02,7
C2_none_p03_k1,C2,none,p03,1
C2_none_p03_k3,C2,none,p03,3
C2_none_p03_k0,C2,none,p03,0
C2_none_p03_k2,C2,none,p03,2
C2_none_p03_k5,C2,none,p03,5
C2_none_p03_k4,C2,none,p03,4
C2_none_p03_k6,C2,none,p03,6
C2_none_p03_k7,C2,none,p03,7
C2_none_p04_k1,C2,none,p04,1
C2_none_p04_k0,C2,none,p04,0
C2_none_p04_k2,C2,none,p04,2
C2_none_p04_k3,C2,none,p04,3
C2_none_p04_k5,C2,none,p04,5
C2_none_p04_k4,C2,none,p04,4
C2_none_p04_k7,C2,none,p04,7
C2_none_p04_k6,C2,none,p04,6
C2_none_p05_k0,C2,none,p05,0
C2_none_p05_k2,C2,none,p05,2
C2_none_p05_k3,C2,none,p05,3
C2_none_p05_k1,C2,none,p05,1
C2_none_p05_k4,C2,none,p05,4
C2_none_p05_k5,C2,none,p05,5
C2_none_p05_k6,C2,none,p05,6
C2_none_p05_k7,C2,none,p05,7
C2_none_p06_k0,C2,none,p06,0
C2_none_p06_k1,C2,none,p06,1
C2_none_p06_k2,C2,none,p06,2
C2_none_p06_k4,C2,none,p06,4
C2_none_p06_k3,C2,none,p06,3
C2_none_p06_k5,C2,none,p06,5
C2_none_p06_k6,C2,none,p06,6
C2_none_p06_k7,C2,none,p06,7
C2_none_p07_k0,C2,none,p07,0
C2_none_p07_k1,C2,none,p07,1
C2_none_p07_k4,C2,none,p07,4
C2_none_p07_k2,C2,none,p07,2
C2_none_p07_k3,C2,none,p07,3
C2_none_p07_k5,C2,none,p07,5
C2_none_p07_k6,C2,none,p07,6
C2_none_p07_k7,C2,none,p07,7
C2_none_p08_k1,C2,none,p08,1
C2_none_p08_k0,C2,none,p08,0
C2_none_p08_k2,C2,none,p08,2
C2_none_p08_k3,C2,none,p08,3
C2_none_p08_k4,C2,none,p08,4
C2_none_p08_k5,C2,none,p08,5
C2_none_p08_k6,C2,none,p08,6
C2_none_p08_k7,C2,none,p08,7
C2_none_p09_k0,C2,none,p09,0
C2_none_p09_k1,C2,none,p09,1
C2_none_p09_k2,C2,none,p09,2
C2_none_p09_k3,C2,none,p09,3
C2_none_p09_k4,C2,none,p09,4
C2_none_p09_k6,C2,none,p09,6
C2_none_p09_k5,C2,none,p09,5
C2_none_p09_k7,C2,none,p09,7
C2_none_p10_k0,C2,none,p10,0
C2_none_p10_k1,C2,none,p10,1
C2_none_p10_k2,C2,none,p10,2
C2_none_p10_k3,C2,none,p10,3
C2_none_p10_k5,C2,none,p10,5
C2_none_p10_k6,C2,none,p10,6
C2_none_p10_k4,C2,none,p10,4
C2_none_p10_k7,C2,none,p10,7
C2_none_p11_k0,C2,none,p11,0
C2_none_p11_k1,C2,none,p11,1
C2_none_p11_k2,C2,none,p11,2
C2_none_p11_k3,C2,none,p11,3
C2_none_p11_k4,C2,none,p11,4
C2_none_p11_k5,C2,none,p11,5
C2_none_p11_k6,C2,none,p11,6
C2_none_p11_k7,C2,none,p11,7
C2_none_p12_k0,C2,none,p12,0
C2_none_p12_k1,C2,none,p12,1
C2_none_p12_k2,C2,none,p12,2
C2_none_p12_k4,C2,none,p12,4
C2_none_p12_k3,C2,none,p12,3
C2_none_p12_k5,C2,none,p12,5
C2_none_p12_k6,C2,none,p12,6
C2_none_p12_k7,C2,none,p12,7
C2_none_p13_k0,C2,none,p13,0
C2_none_p13_k1,C2,none,p13,1
C2_none_p13_k2,C2,none,p13,2
C2_none_p13_k4,C2,none,p13,4
C2_none_p13_k3,C2,none,p13,3
C2_none_p13_k7,C2,none,p13,7
C2_none_p13_k5,C2,none,p13,5
C2_none_p13_k6,C2,none,p13,6
C2_none_p14_k0,C2,none,p14,0
C2_none_p14_k1,C2,none,p14,1
C2_none_p14_k2,C2,none,p14,2
C2_none_p14_k5,C2,none,p14,5
C2_none_p14_k3,C2,none,p14,3
C2_none_p14_k4,C2,none,p14,4
C2_none_p14_k6,C2,none,p14,6
C2_none_p14_k7,C2,none,p14,7
C2_none_p15_k0,C2,none,p15,0
C2_none_p15_k1,C2,none,p15,1
C2_none_p15_k2,C2,none,p15,2
C2_none_p15_k5,C2,none,p15,5
C2_none_p15_k3,C2,none,p15,3
C2_none_p15_k4,C2,none,p15,4
C2_none_p15_k6,C2,none,p15,6
C2_none_p15_k7,C2,none,p15,7
C3_full_p00_k3,C3,full,p00,3
C3_full_p00_k2,C3,full,p00,2
C3_full_p00_k4,C3,full,p00,4
C3_full_p00_k5,C3,full,p00,5
C3_full_p00_k6,C3,full,p00,6
C3_full_p00_k7,C3,full,p00,7
C3_full_p01_k0,C3,full,p01,0
C3_full_p01_k3,C3,full,p01,3
C3_full_p01_k2,C3,full,p01,2
C3_full_p01_k1,C3,full,p01,1
C3_full_p01_k4,C3,full,p01,4
C3_full_p01_k5,C3,full,p01,5
C3_full_p01_k6,C3,full,p01,6
C3_full_p01_k7,C3,full,p01,7
C3_full_p02_k0,C3,full,p02,0
C3_full_p02_k3,C3,full,p02,3
C3_full_p02_k2,C3,full,p02,2
C3_full_p02_k1,C3,full,p02,1
C3_full_p02_k4,C3,full,p02,4
C3_full_p02_k5,C3,full,p02,5
C3_full_p02_k6,C3,full,p02,6
C3_full_p02_k7,C3,full,p02,7
C3_full_p03_k0,C3,full,p03,0
C3_full_p03_k1,C3,full,p03,1
C3_full_p03_k3,C3,full,p03,3
C3_full_p03_k2,C3,full,p03,2
C3_full_p03_k4,C3,full,p03,4
C3_full_p03_k6,C3,full,p03,6
C3_full_p03_k5,C3,full,p03,5
C3_full_p03_k7,C3,full,p03,7
C3_full_p04_k0,C3,full,p04,0
C3_full_p04_k1,C3,full,p04,1
C3_full_p04_k3,C3,full,p04,3
C3_full_p04_k2,C3,full,p04,2
C3_full_p04_k5,C3,full,p04,5
C3_full_p04_k6,C3,full,p04,6
C3_full_p04_k4,C3,full,p04,4
C3_full_p04_k7,C3,full,p04,7
C3_full_p05_k0,C3,full,p05,0
C3_full_p05_k2,C3,full,p05,2
C3_full_p05_k1,C3,full,p05,1
C3_full_p05_k3,C3,full,p05,3
C3_full_p05_k4,C3,full,p05,4
C3_full_p05_k5,C3,full,p05,5
C3_full_p05_k6,C3,full,p05,6
C3_full_p05_k7,C3,full,p05,7
C3_full_p06_k0,C3,full,p06,0
C3_full_p06_k1,C3,full,p06,1
C3_full_p06_k3,C3,full,p06,3
C3_full_p06_k2,C3,full,p06,2
C3_full_p06_k5,C3,full,p06,5
C3_full_p06_k4,C3,full,p06,4
C3_full_p06_k6,C3,full,p06,6
C3_full_p06_k7,C3,full,p06,7
C3_full_p07_k0,C3,full,p07,0
C3_full_p07_k1,C3,full,p07,1
C3_full_p07_k2,C3,full,p07,2
C3_full_p07_k4,C3,full,p07,4
C3_full_p07_k3,C3,full,p07,3
C3_full_p07_k5,C3,full,p07,5
C3_full_p07_k6,C3,full,p07,6
C3_full_p07_k7,C3,full,p07,7
C3_full_p08_k0,C3,full,p08,0
C3_full_p08_k1,C3,full,p08,1
C3_full_p08_k4,C3,full,p08,4
C3_full_p08_k2,C3,full,p08,2
C3_full_p08_k3,C3,full,p08,3
C3_full_p08_k5,C3,full,p08,5
C3_full_p08_k6,C3,full,p08,6
C3_full_p09_k0,C3,full,p09,0
C3_full_p08_k7,C3,full,p08,7
C3_full_p09_k1,C3,full,p09,1
C3_full_p09_k4,C3,full,p09,4
C3_full_p09_k3,C3,full,p09,3
C3_full_p09_k2,C3,full,p09,2
C3_full_p09_k5,C3,full,p09,5
C3_full_p09_k6,C3,full,p09,6
C3_full_p09_k7,C3,full,p09,7
C3_full_p10_k0,C3,full,p10,0
C3_full_p10_k1,C3,full,p10,1
C3_full_p10_k3,C3,full,p10,3
C3_full_p10_k2,C3,full,p10,2
C3_full_p10_k4,C3,full,p10,4
C3_full_p10_k5,C3,full,p10,5
C3_full_p10_k7,C3,full,p10,7
C3_full_p10_k6,C3,full,p10,6
C3_full_p11_k0,C3,full,p11,0
C3_full_p11_k1,C3,full,p11,1
C3_full_p11_k2,C3,full,p11,2
C3_full_p11_k3,C3,full,p11,3
C3_full_p11_k4,C3,full,p11,4
C3_full_p11_k5,C3,full,p11,5
C3_full_p11_k6,C3,full,p11,6
C3_full_p11_k7,C3,full,p11,7
C3_full_p12_k0,C3,full,p12,0
C3_full_p12_k1,C3,full,p12,1
C3_full_p12_k3,C3,full,p12,3
C3_full_p12_k2,C3,full,p12,2
C3_full_p12_k4,C3,full,p12,4
C3_full_p12_k5,C3,full,p12,5
C3_full_p12_k6,C3,full,p12,6
C3_full_p12_k7,C3,full,p12,7
C3_full_p13_k1,C3,full,p13,1
C3_full_p13_k0,C3,full,p13,0
C3_full_p13_k2,C3,full,p13,2
C3_full_p13_k3,C3,full,p13,3
C3_full_p13_k4,C3,full,p13,4
C3_full_p13_k5,C3,full,p13,5
C3_full_p13_k6,C3,full,p13,6
C3_full_p13_k7,C3,full,p13,7
C3_full_p14_k1,C3,full,p14,1
C3_full_p14_k0,C3,full,p14,0
C3_full_p14_k2,C3,full,p14,2
C3_full_p14_k3,C3,full,p14,3
C3_full_p14_k4,C3,full,p14,4
C3_full_p14_k5,C3,full,p14,5
C3_full_p14_k6,C3,full,p14,6
C3_full_p14_k7,C3,full,p14,7
C3_full_p15_k0,C3,full,p15,0
C3_full_p15_k1,C3,full,p15,1
C3_full_p15_k2,C3,full,p15,2
C3_full_p15_k4,C3,full,p15,4
C3_full_p15_k3,C3,full,p15,3
C3_full_p15_k6,C3,full,p15,6
C3_full_p15_k5,C3,full,p15,5
C3_full_p15_k7,C3,full,p15,7
C3_none_p00_k0,C3,none,p00,0
C3_none_p00_k1,C3,none,p00,1
C3_none_p00_k2,C3,none,p00,2
C3_none_p00_k4,C3,none,p00,4
C3_none_p00_k3,C3,none,p00,3
C3_none_p00_k5,C3,none,p00,5
C3_none_p00_k6,C3,none,p00,6
C3_none_p00_k7,C3,none,p00,7
C3_none_p01_k1,C3,none,p01,1
C3_none_p01_k2,C3,none,p01,2
C3_none_p01_k0,C3,none,p01,0
C3_none_p01_k4,C3,none,p01,4
C3_none_p01_k6,C3,none,p01,6
C3_none_p01_k5,C3,none,p01,5
C3_none_p01_k7,C3,none,p01,7
C3_none_p01_k3,C3,none,p01,3
C3_none_p02_k1,C3,none,p02,1
C3_none_p02_k0,C3,none,p02,0
C3_none_p02_k2,C3,none,p02,2
C3_none_p02_k4,C3,none,p02,4
C3_none_p02_k3,C3,none,p02,3
C3_none_p02_k5,C3,none,p02,5
C3_none_p02_k6,C3,none,p02,6
C3_none_p02_k7,C3,none,p02,7
C3_none_p03_k1,C3,none,p03,1
C3_none_p03_k0,C3,none,p03,0
C3_none_p03_k2,C3,none,p03,2
C3_none_p03_k3,C3,none,p03,3
C3_none_p03_k4,C3,none,p03,4
C3_none_p03_k5,C3,none,p03,5
C3_none_p03_k6,C3,none,p03,6
C3_none_p03_k7,C3,none,p03,7
C3_none_p04_k0,C3,none,p04,0
C3_none_p04_k1,C3,none,p04,1
C3_none_p04_k2,C3,none,p04,2
C3_none_p04_k3,C3,none,p04,3
C3_none_p04_k4,C3,none,p04,4
C3_none_p04_k5,C3,none,p04,5
C3_none_p04_k6,C3,none,p04,6
C3_none_p04_k7,C3,none,p04,7
C3_none_p05_k1,C3,none,p05,1
C3_none_p05_k2,C3,none,p05,2
C3_none_p05_k0,C3,none,p05,0
C3_none_p05_k4,C3,none,p05,4
C3_none_p05_k3,C3,none,p05,3
C3_none_p05_k5,C3,none,p05,5
C3_none_p05_k6,C3,none,p05,6
C3_none_p05_k7,C3,none,p05,7
C3_none_p06_k0,C3,none,p06,0
C3_none_p06_k1,C3,none,p06,1
C3_none_p06_k3,C3,none,p06,3
C3_none_p06_k2,C3,none,p06,2
C3_none_p06_k4,C3,none,p06,4
C3_none_p06_k5,C3,none,p06,5
C3_none_p06_k6,C3,none,p06,6
C3_none_p06_k7,C3,none,p06,7
C3_none_p07_k0,C3,none,p07,0
C3_none_p07_k1,C3,none,p07,1
C3_none_p07_k3,C3,none,p07,3
C3_none_p07_k2,C3,none,p07,2
C3_none_p07_k4,C3,none,p07,4
C3_none_p07_k5,C3,none,p07,5
C3_none_p07_k6,C3,none,p07,6
C3_none_p07_k7,C3,none,p07,7
C3_none_p08_k1,C3,none,p08,1
C3_none_p08_k0,C3,none,p08,0
C3_none_p08_k3,C3,none,p08,3
C3_none_p08_k4,C3,none,p08,4
C3_none_p08_k2,C3,none,p08,2
C3_none_p08_k5,C3,none,p08,5
C3_none_p08_k6,C3,none,p08,6
C3_none_p08_k7,C3,none,p08,7
C3_none_p09_k0,C3,none,p09,0
C3_none_p09_k1,C3,none,p09,1
C3_none_p09_k3,C3,none,p09,3
C3_none_p09_k4,C3,none,p09,4
C3_none_p09_k2,C3,none,p09,2
C3_none_p09_k5,C3,none,p09,5
C3_none_p09_k6,C3,none,p09,6
C3_none_p09_k7,C3,none,p09,7
C3_none_p10_k1,C3,none,p10,1
C3_none_p10_k0,C3,none,p10,0
C3_none_p10_k2,C3,none,p10,2
C3_none_p10_k3,C3,none,p10,3
C3_none_p10_k4,C3,none,p10,4
C3_none_p10_k5,C3,none,p10,5
C3_none_p10_k6,C3,none,p10,6
C3_none_p10_k7,C3,none,p10,7
C3_none_p11_k1,C3,none,p11,1
C3_none_p11_k4,C3,none,p11,4
C3_none_p11_k2,C3,none,p11,2
C3_none_p11_k0,C3,none,p11,0
C3_none_p11_k3,C3,none,p11,3
C3_none_p11_k5,C3,none,p11,5
C3_none_p11_k6,C3,none,p11,6
C3_none_p11_k7,C3,none,p11,7
C3_none_p12_k3,C3,none,p12,3
C3_none_p12_k2,C3,none,p12,2
C3_none_p12_k0,C3,none,p12,0
C3_none_p12_k1,C3,none,p12,1
C3_none_p12_k4,C3,none,p12,4
C3_none_p12_k5,C3,none,p12,5
C3_none_p12_k6,C3,none,p12,6
C3_none_p12_k7,C3,none,p12,7
C3_none_p13_k0,C3,none,p13,0
C3_none_p13_k1,C3,none,p13,1
C3_none_p13_k2,C3,none,p13,2
C3_none_p13_k4,C3,none,p13,4
C3_none_p13_k3,C3,none,p13,3
C3_none_p13_k5,C3,none,p13,5
C3_none_p13_k6,C3,none,p13,6
C3_none_p13_k7,C3,none,p13,7
C3_none_p14_k0,C3,none,p14,0
C3_none_p14_k1,C3,none,p14,1
C3_none_p14_k2,C3,none,p14,2
C3_none_p14_k3,C3,none,p14,3
C3_none_p14_k4,C3,none,p14,4
C3_none_p14_k5,C3,none,p14,5
C3_none_p14_k6,C3,none,p14,6
C3_none_p14_k7,C3,none,p14,7
C3_none_p15_k1,C3,none,p15,1
C3_none_p15_k0,C3,none,p15,0
C3_none_p15_k4,C3,none,p15,4
C3_none_p15_k3,C3,none,p15,3
C3_none_p15_k2,C3,none,p15,2
C3_none_p15_k5,C3,none,p15,5
C3_none_p15_k6,C3,none,p15,6
C3_none_p15_k7,C3,none,p15,7
